a,ある
blankness,空白
blanquillo,ブランキーロ
blare,鳴り響く
blarina,ブラリナ
blaring,鳴り響く
blarney,コック
blas,ブラス
blase,ブレイズ
blaser,ブレザー
blaspheme,冒涜
blasphemer,冒涜者
blasphemous,冒涜的な
blasphemously,冒涜的に
blasphemy,冒涜
blast,爆発
blasted,爆破された
blastema,芽腫
blastemal,発芽性
blasting,爆破
blastocladia,胚盤胞
blastocladiales,ブラストクラディアレス
blastocoel,胚腔
blastocoelic,胚盤胞性
blastocyte,胚盤胞
blastoderm,胚盤葉
blastodermatic,胚盤葉性
blastodiaceae,ブラストディア科
blastoff,飛び立つ
blastogenesis,胚盤胞形成
blastogenetic,胚盤胞性
blastomere,割球
blastomeric,割球性
blastomyces,ブラストミセス
blastomycete,ブラスト菌
blastomycosis,ブラストミシス症
blastomycotic,芽球菌性
blastoporal,原口口
blastopore,原爆孔
blastospheric,爆圏
blastula,胞胚
blatancy,あからさまな
blatant,あからさまな
blatantly,あからさまに
blather,おしゃべりする
blathering,おしゃべり
blatherskite,ブラザースカイト
blatta,ブラッタ
blattella,ブラテラ
blatter,ブラッター
blattidae,キツネザル科
blattodea,ブラットデア
blaze,燃える
blazed,燃え上がった
blazer,ブレザー
blazing,燃えるような
blazon,紋章
ble,ブル
bleach,漂白
bleached,漂白された
bleachers,観覧席
bleaching,漂白
bleak,暗い
bleakly,暗い
bleakness,暗い
blear,暗い
blearedness,滲み
bleareyed,目が曇った
bleary,ぼんやりとした
bleat,鳴く
bleb,水疱
blebbed,水疱状の
blebby,ブレビー
blechnaceae,ブレクナ科
blechnum,ブレクナム
bleed,出血する
bleeding,出血
bleep,ピーピー
blemish,傷
blemished,傷のある
blench,ブランチ
blend,ブレンド
blended,ブレンド
blender,ブレンダー
blending,ブレンドする
blenheim,ブレナム
blenniidae,ブレニ科
blennioidea,ブレニオデア
blennius,ブレニアス
blennorrhagia,ブレンノラギア
blennorrhoea,ブレンノロア
blenny,ブレニー
blepharitis,眼瞼炎
blephilia,眼瞼下垂
bless,祝福する
blessed,祝福された
blessedly,幸いなことに
blessedness,祝福
blessing,祝福
blessings,祝福
blest,祝福する
blether,吹き飛ばす
bletia,ブレティア
bletilla,ブレティラ
bletonism,ブレトン主義
bleu,ブルー
blewits,故障
bligh,ブライ
blighia,ブリギア
blight,疫病
blighted,枯れた
blighty,暗い
blimp,飛行船
blimpish,気まぐれな
blind,盲目
blinded,盲目になった
blindfold,目隠し
blindfolded,目隠し
blindly,盲目的に
blindmans,ブラインドマン
blindness,失明
blinds,ブラインド
blindworm,盲虫
blini,ブリニ
blink,まばたきする
blinkard,ブリンカード
blinker,ウインカー
blinking,点滅する
blinks,点滅する
blintz,ブリンツ
blip,ブリップ
bliss,至福
blissful,至福の
blissfully,幸せに
blissus,至福の
blister,水膨れ
blistered,水ぶくれした
blistering,水膨れ
blithe,陽気な
blithesome,陽気な
blitz,電撃戦
blizzard,猛吹雪
bloat,膨満
bloated,むくんだ
bloater,膨満感のある
blob,塊
blobber,ブロバー
blobberlipped,ぶよぶよした
bloc,ブロック
block,ブロック
blockade,封鎖
blockading,封鎖
blockage,閉塞
blockbuster,大ヒット作
blocked,ブロックされました
blocker,ブロッカー
blockhead,ブロックヘッド
blockheaded,ブロックヘッド
blockhouse,ブロックハウス
blocking,ブロッキング
blockish,ブロックっぽい
blocks,ブロック
blodd,血
bloemfontein,ブルームフォンテーン
bloke,やつ
blolly,ブロリー
blond,ブロンド
blood,血
bloodbath,血祭り
bloodberry,ブラッドベリー
bloodcurdling,ぞっとするような
blooded,血まみれの
bloodguilt,血の罪
bloodguilty,流血の罪
bloodhound,ブラッドハウンド
bloodied,血まみれの
bloodily,血まみれの
bloodleaf,血の葉
bloodless,無血
bloodlessly,無血で
bloodlessness,無血
bloodletting,瀉血
bloodlust,殺気
bloodmobile,血液車
bloodroot,赤根
bloodshed,流血
bloodshot,充血した
bloodsport,ブラッドスポーツ
bloodstain,血痕
bloodstained,血まみれの
bloodstock,血液ストック
bloodstone,ブラッドストーン
bloodstream,血流
bloodstroke,血射
bloodsucker,吸血者
bloodsucking,吸血
bloodthirsty,血に飢えた
bloodworm,赤虫
bloodwort,ブラッドワート
bloody,血まみれの
bloodyminded,血まみれの
bloom,咲く
bloomer,ブルマ
bloomeria,ブルメリア
bloomers,ブルマ
blooming,咲く
blooper,失敗者
blossom,花
blossomed,開花した
blossoming,開花中
blossoms,花
blot,しみ
blotch,しみ
blotched,しみのある
blotches,しみ
blotchy,斑点のある
blotter,吸い取り紙
blouse,ブラウス
blow,吹く
blowback,ブローバック
blowed,吹かれた
blower,送風機
blowfish,ふぐ
blowfly,クロバエ
blowgun,吹き矢
blowhole,噴気孔
blowing,吹いている
blown,吹き飛ばされた
blowoff,吹き飛ばし
blowout,吹き消す
blowpipe,吹き矢
blows,吹く
blowsy,吹っ飛ぶ
blowth,打撃
blowtorch,トーチランプ
blowtube,ブローチューブ
blowy,吹く
blowzy,ブロージー
blubber,脂肪
blucher,ブルーチャー
bludgeon,棍棒
blue,青
blueback,ブルーバック
bluebeard,青ひげ
blueberry,ブルーベリー
bluebird,青い鳥
blueblack,青黒
bluebonnet,ブルーボネット
bluebottle,ブルーボトル
bluefin,ブルーフィン
bluefish,青魚
bluegill,ブルーギル
bluehead,ブルーヘッド
bluejacket,海兵
blueness,青さ
bluepoint,ブルーポイント
blueprint,青写真
blues,ブルース
bluestem,ブルーステム
bluestocking,ブルーストッキング
bluestone,ブルーストーン
bluethroat,ブルースロート
bluetick,ブルーティック
blueweed,ブルーウィード
bluewing,ブルーウィング
bluff,はったり
bluffer,はったり
bluffly,ハッタリ
bluffness,はったり
bluing,ブルーイング
bluish,青みがかった
bluishness,青み
blunder,失策
blunderbuss,ドジバス
blunderer,ドジっ子
blunderhead,ドジっ子
blundt,鈍い
blundwitted,鈍い
blunt,鈍い
blunted,鈍くなった
bluntness,鈍さ
blur,ぼかし
blurb,宣伝文句
blurred,ぼやけた
blurt,口うるさい
blush,赤面
blushful,赤面した
blushing,赤面する
blushingly,赤面して
bluster,暴言を吐く
blusterer,暴言を吐く人
blustering,暴れる
blustery,荒々しい
blut,鈍い
bo,ボー
boa,ボア
boann,ボアン
boar,イノシシ
board,ボード
boarder,ボーダー
boarding,搭乗
boardroom,役員室
boards,ボード
boardwalk,遊歩道
boarfish,猪魚
boarhound,ボアハウンド
boast,自慢
boaster,自慢する人
boastful,自慢の
boastfully,誇らしげに
boastfulness,自慢
boasting,自慢する
boaston,自慢
boat,ボート
boatbill,ボートビル
boatbuilder,船大工
boater,ボートに乗る人
boathouse,ボートハウス
boating,ボート遊び
boatload,船積み
boatman,船頭
boatmanship,船操業
boats,ボート
boatswain,甲板長
bob,ボブ
bobadil,ボバディル
bobbery,おしゃべり
bobbin,ボビン
bobbing,揺れる
bobbish,ボブっぽい
bobble,ボブル
bobby,ボビー
bobbysoxer,ボビーソックス
bobcat,ボブキャット
bobolink,ボボリンク
bobsled,ボブスレー
bobsledding,ボブスレー
bobsleigh,ボブスレー
bobtail,ボブテイル
bobwhite,ボブホワイト
bocage,ボカージュ
bocca,ボッカ
bocce,ボッチャ
bocconia,ボッコーニア
bock,ボック
bodacious,大胆な
bode,ボード
bodega,ボデガ
bodement,ボディメント
bodhisattva,菩薩
bodice,胴着
bodied,ボディのある
bodies,体
bodiless,実体のない
bodily,肉体的に
bodkin,ボドキン
body,体
bodybuilder,ボディービルダー
bodybuilding,ボディービル
bodyguard,ボディーガード
bodywork,車体
boehme,ベーメ
boehmenism,ベーメニズム
boehmeria,ベーメリア
boeotia,ボイオティア
boeotian,ボイオティアン
boffin,棺
bog,沼地
bogart,ボガート
bogartian,ボガーティアン
bogey,ボギー
bogeyman,ボギーマン
boggart,ボガート
boggle,混乱する
boggy,沼地
bogie,ボギー
bogle,ボーグル
bogota,ボゴタ
bogtrotter,ボグトロッター
bogus,インチキな
bogy,ボギー
bohemian,ボヘミアン
boidae,ボイダ科
boil,沸騰させる
boiled,煮た
boiler,ボイラー
boilerplate,定型文
boiling,沸騰
boire,ボワール
boise,ボイジー
boisterous,騒々しい
boisterousness,騒々しさ
bokmal,ボクマル
bola,ボラ
bolbitis,ボルビティス
bold,大胆な
boldface,太字
boldfaced,太字の
boldly,大胆に
boldness,大胆さ
boldspirited,大胆な
bole,ボール
bolero,ボレロ
boletaceae,イブドリ科
bolete,ボレテ
boletellus,ポルチーニ
boletus,ポルチーニ
boleyn,ブーリン
bolide,大胆に
bolivar,ボリバル
bolivia,ボリビア
bolivian,ボリビアの
boliviano,ボリビアーノ
boll,ボール
bollard,ボラード
bollock,ボロック
bollworm,ダンゴムシ
bolo,ボロ
bologna,ボローニャ
bologram,ボログラム
bolographic,ボログラフィック
bolometer,ボロメーター
bolometric,ボロメトリック
bolshevik,ボリシェヴィキ
bolshevism,ボルシェビズム
bolshy,大胆な
bolster,強化する
bolt,ボルト
bolthead,ボルトヘッド
bolti,ボルティ
boltonia,ボルトニア
bolus,ボーラス
bomarea,ボマレア
bomb,爆弾
bombacaceae,ボンバ科
bombard,砲撃する
bombardier,爆撃機
bombardment,砲撃
bombardon,砲撃
bombast,大げさな
bombastes,大げさな
bombastic,大げさな
bombastically,大げさに
bombax,ボンバックス
bombay,ボンベイ
bomber,爆撃機
bombilation,爆撃
bombina,ボンビーナ
bombinate,爆撃する
bombination,爆撃
bombing,爆撃
bombproof,防爆
bombshell,爆弾
bombsight,爆撃照準器
bombus,ボンバス
bombycid,ボンビシッド
bombycidae,カイムシ科
bombycilla,ボンビーシラ
bombycillidae,ボンビキリ科
bombyliidae,ボンビリ科
bombyx,ボンビックス
bon,ボン
bona,ボナ
bonaire,ボネール島
bonanza,大当たり
bonasa,ボナサ
bonbon,ボンボン
bond,つなぐ
bondable,接着可能な
bondage,束縛
bonded,結合された
bondholder,社債権者
bonding,ボンディング
bondman,ボンドマン
bonds,債券
bondslave,ボンズレイブ
bondsman,債券屋
bondswoman,債券女
bonduc,ボンダック
bondwoman,ボンドウーマン
bone,骨
boned,骨太の
bonefish,ボーンフィッシュ
boneless,骨なし
bonelike,骨のような
bonemeal,骨粉
boner,ばかげた
bones,骨格
boneset,骨格
bonesetter,接骨院
boneshaker,ボーンシェイカー
bonete,ボネテ
bonfire,たき火
bong,ボン
bongo,ボンゴ
bonheur,ボヌール
bonhomie,ボンホーミー
bonhomme,ボノム
boniface,ボニフェイス
boniness,骨っぽさ
bonis,ボーナス
bonito,カツオ
bonk,ボンクラ
bonmotjeu,ボンモジュー
bonn,ボン
bonne,ボンヌ
bonnebouche,ボンヌブーシュ
bonnet,ボンネット
bonnily,陽気な
bonny,素敵な
bono,ボノ
bonos,ボノス
bonsai,盆栽
bonum,ボーナス
bonus,ボーナス
bony,骨っぽい
bonze,盆栽
bonzer,ボンサー
boo,ブーイング
boob,おっぱい
booboo,ブーブー
booby,ブービー
boodle,ブードル
boof,ブーブー
booger,鼻くそ
boogie,ブギー
boohoo,ブーフー
book,本
bookable,予約可能
bookbinder,製本機
bookbinding,製本
bookcase,本棚
bookclub,ブッククラブ
bookdealer,書店
booked,予約済み
bookend,ブックエンド
booker,ブッカー
bookful,本一杯
booking,予約
bookish,本っぽい
bookishness,本好き
bookkeeper,簿記係
bookkeeping,簿記
bookless,本のない
booklet,冊子
booklouse,チャタテムシ
bookmaker,ブックメーカー
bookmaking,製本
bookmark,ブックマーク
bookmobile,携帯電話
bookplate,蔵書票
books,本
bookseller,本屋
booksellers,書店員
bookshelf,本棚
bookshop,書店
bookstore,本屋
bookworm,本の虫
boole,ブール値
boolean,ブール値
booly,ブーリーな
boom,ブーム
boomer,ブーマー世代
boomerang,ブーメラン
booming,活況を呈している
boon,恩恵
boone,ブーン
boor,山猿
boorish,粗野な
boorishly,乱暴に
boorishness,粗暴さ
boost,ブースト
booster,増幅器
boosters,ブースター
boot,ブート
bootblack,ブーツブラック
booted,起動した
bootee,ブート者
bootes,ブーツ
booth,ブース
boothose,ブースーズ
bootikin,ブーツキン
bootjack,ブーツジャック
bootlace,ブーツレース
bootleg,海賊版
bootlegger,密造業者
bootlegging,密造
bootless,ブーツレス
bootlicking,ブーツ舐め
bootmaker,ブーツメーカー
boots,ブーツ
bootstrap,ブートストラップ
booty,戦利品
booze,酒
boozy,酒盛り
bop,バップ
bopeep,ピープ
borage,ルリヂサ
boraginaceae,ムラサキ科
borago,ボラゴ
borassus,ボラッスス
borate,ホウ酸塩
borated,ホウ酸塩
borax,ホウ砂
bordeaux,ボルドー
bordel,ボルデル
bordelaise,ボルドー
bordello,売春婦
border,国境
bordered,ボーダー付き
borderer,国境の人
bordering,国境を接している
borderland,国境地帯
borderline,境界線
borders,国境
bore,退屈させる
boreal,北方の
borealis,ボレアリス
boreas,ボレアス
bored,退屈
boredom,退屈
borer,退屈する人
boric,ホウ酸
boring,つまらない
boringly,退屈に
boringness,退屈さ
born,生まれる
borne,負担した
bornean,ボルネオ島
borneo,ボルネオ島
bornite,ボルナイト
borns,生まれた
borodino,ボロディーノ
boron,ボロン
boronic,ボロン酸
borosilicate,ホウケイ酸塩
borough,自治区
borrelia,ボレリア
borrow,借りる
borrowed,借りた
borrower,借り手
borrowing,借りる
borrows,借りる
borsch,ボルシチ
borscht,ボルシチ
borstal,胸部
borzoi,ボルゾイ
bos,ボス
bosc,ボスク
boscage,ボスカージュ
boselaphus,ボセラファス
bosh,ボッシュ
bosk,ボスク
boskopoid,ボスコイド
bosky,ボスキー
bosnian,ボスニア人
bosom,胸
bosomed,胸が大きい
bosomy,胸元
boson,ボソン
bosporus,ボスポラス海峡
boss,ボス
bossed,ボス付き
bossism,ボス主義
bossy,偉そうな
boston,ボストン
boswellia,ボスウェリア
bot,ボット
bota,ボタ
botanic,植物の
botanical,植物の
botanist,植物学者
botanize,植物化する
botanomancy,植物学
botany,植物学
botaurus,ボタウルス
botch,失敗した
botchery,失敗
botchy,ボッチな
botfly,ボットフライ
both,両方
bother,わざわざ
botheration,迷惑
bothered,困った
bothering,面倒な
bothidae,両科
bothrops,両ロップ
bothy,ボシー
botonee,ボットニー
botrychium,ボトリキウム
botryoid,褐色
botswana,ボツワナ
botte,ボット
bottes,ボット
bottle,ボトル
bottlebrush,ボトルブラシ
bottlecap,瓶のキャップ
bottleholder,ボトルホルダー
bottles,ボトル
bottletree,ボトルツリー
bottom,底
bottomed,底付きの
bottomland,底地
bottomless,底なしの
bottomlessness,底なし
bottommost,最下位
bottop,底部
botttomless,底なし
botuliform,ボツリヌス菌
botulin,ボツリン
botulinal,ボツリヌス
botulinus,ボツリヌス菌
botulism,ボツリヌス症
bouche,ブッシュ
boucle,ブークレ
bouderie,境界線
boudoir,私室
bouffant,ふかふか
bouffe,ブッフ
bougainville,ブーゲンビル
bougainvillea,ブーゲンビリア
bouge,ブージュ
bough,枝
boughed,買った
boughless,枝のない
bought,買った
boughten,買った
bougie,ブジー
bouillabaisse,ブイヤベース
bouilli,ブイィ
bouillon,ブイヨン
boulder,岩
boulebards,大通り
bouleverse,大通り
bouleversement,大通り
bouleverser,大通り
boulle,ブール
bounce,跳ねる、弾む
bouncer,用心棒
bounces,跳ねる
bouncing,跳ねる
bouncy,弾むような
bound,バウンド
boundaries,境界線
boundary,境界
bounded,跳ねる
bounden,境界
bounding,境界
boundless,無限の
boundlessly,際限なく
boundlessness,無限
bounds,境界
boundshave,バウンドシェーブ
bounteous,豊かな
bounteousness,豊かさ
bountied,報奨金をもらった
bountiful,豊かな
bountifully,豊かに
bountifulness,豊かさ
bounty,報奨金
bouquet,花束
bourbon,バーボン
bourdon,ブルドン
bourgeois,ブルジョワ
bourgeoisie,ブルジョワジー
bourgeon,ブルジャン
bourgogne,ブルゴーニュ
bourguignon,ブルギニヨン
bourn,生まれた
bourse,証券取引所
bourtree,バーツリー
bouse,ブース
boustrophedon,ボストロフェドン
boustrophedonic,ボストロフェドニック
bout,試合
boutade,ブターデ
bouteloua,ブーテロア
boutez,ブテズ
boutique,ブティック
boutonniere,ブートニエール
bouvines,ウシ
bouyei,ぼうえい
bove,上
bovi,ボヴィ
bovid,ウシ科
bovidae,ウシ科
bovinae,ウシ科
bovine,ウシ
bovini,ボビーニ
bow,弓
bowdlerization,弓なり化
bowed,お辞儀をした
bowel,腸
bowelless,腸なし
bowels,腸
bower,バウワー
bowerbird,ニワシドリ
bowers,バウワーズ
bowery,バウリー
bowfin,ボウフィン
bowfront,船首前部
bowhead,北極鯨
bowie,ボウイ
bowiea,ボウイア
bowing,お辞儀をする
bowl,丼鉢
bowlder,ボウラー
bowleg,O脚
bowlegged,O脚
bowler,ボウラー
bowline,ボウライン
bowling,ボウリング
bowls,ボウル
bowman,弓兵
bowmann,ボーマン
bowsprit,バウスプリット
bowstring,弦
bowwow,バウワウ
box,箱
boxcar,有蓋車
boxcars,有蓋車
boxed,箱入り
boxer,ボクサー
boxes,ボックス
boxfish,ハコフグ
boxing,ボクシング
boxlike,箱状の
boxwood,ツゲの木
boy,男の子
boyar,ボヤール
boycott,ボイコット
boyfriend,彼氏
boyhood,少年時代
boyish,ボーイッシュ
boyishly,少年のように
boyishness,少年らしさ
boykinia,ボイキニア
boyne,ボイン
boysenberry,ボイセンベリー
bozo,ボゾ
bp,血圧
bra,ブラジャー
brabble,喧嘩
brabbler,喧嘩屋
brace,ブレース
braced,支えられた
bracelet,ブレスレット
bracer,遊撃士
brachial,上腕
brachiate,腕木状
brachiation,ブラキエーション
brachinus,上腕骨
brachiopod,腕足類
brachiopoda,腕足動物
brachium,上腕
brachycephalic,短頭種
brachychiton,ブラキトン
brachycome,ブラキカム
brachydactylic,短指症
brachygraphy,近接撮影
brachypterous,短翅型の
brachystegia,ブラキステギア
brachytactyly,短絡的に
brachyura,ブラキウラ
brachyuran,ブラシュラン
brachyurous,短気な
bracing,支え
bracken,ワラビ
bracket,ブラケット
brackish,汽水っぽい
brackishness,汽水性
bract,苞葉
bracteal,苞葉
bracteate,苞状
bracteolate,苞葉状
bracteole,小苞
brad,ブラッド
bradawl,強がり
bradshaw,ブラッドショー
bradycardia,徐脈
bradypodidae,ブラディポディダエ
bradypus,ブラディパス
brae,ブラ
brag,自慢
bragg,自慢する
braggadocio,自慢
braggardism,自慢
braggart,天狗
bragi,ブラギ
brahimism,バラヒミズム
brahm,ブラーム
brahma,梵天
brahman,バラモン
brahmana,ブラフマナ
brahmanism,バラモン教
brahmaputra,ブラマプトラ
brahmi,ブラーミ語
brahmin,バラモン
brahminic,バラモン教の
brahminical,バラモン的な
brahms,ブラームス
brahui,ブラフイ
braid,三つ編み
braided,編組
braille,点字
brailletype,点字
brain,脳
brained,頭脳明晰な
brainless,頭の悪い
brainpan,頭脳パン
brains,頭脳
brainsick,頭が悪い
brainstem,脳幹
brainwashed,洗脳された
brainwashing,洗脳
brainwave,脳波
brainworker,頭脳労働者
brainy,頭脳派
braise,煮込み
braised,煮込み
braising,煮込む
brake,ブレーキ
brakeman,ブレーキマン
braky,ブレーキがきつい
brama,ブラマ
bramble,野ばら
brambling,いばら
bramidae,ブラミ科
bran,ぬか
brancard,ブランカード
branch,支店
branched,分岐した
branchiae,鰓
branchial,鰓葉
branchiate,枝分かれした
branching,分岐する
branchiobdella,ブランキオブデラ
branchiobdellidae,ブランチオデリ科
branchiopod,鰓脚類
branchiopoda,鰓足動物
branchiostegidae,鰓葉類
branchiura,枝浦
branchless,枝のない
branchlet,小枝
branchout,手を広げる
branchy,枝分かれした
brand,ブランド
branded,ブランド化された
brandish,振り回す
brandnew,真新しい
brandy,ブランデー
brandyball,ブランデーボール
brandysnap,ブランデースナップ
brangle,ブラングル
brangler,ブラングラー
brank,ブランク
branny,おばあちゃん
brant,ブラント
branta,ブランタ
bras,ブラジャー
brasenia,ブラセニア
brash,生意気な
brashness,厚かましさ
brasier,火鉢
brasilia,ブラジリア
brass,真鍮
brassard,ブラザード
brassavola,ブラッサヴォラ
brassband,ブラスバンド
brassbound,真鍮製
brasscolored,真鍮色の
brasserie,ブラッスリー
brassia,ブラッシア
brassica,アブラナ属
brassie,ブラッシー
brassiere,ブラジャー
brassy,真鍮っぽい
brat,ガキ
bratling,喧嘩している
brattle,喧嘩する
bratty,生意気な
bratwurst,ブラートヴルスト
braunschweig,ブラウンシュヴァイク
bravado,虚勢
brave,勇敢な
bravely,勇敢に
bravery,勇気
braving,勇敢な
bravissimo,ブラヴィッシモ
bravo,ブラボー
bravura,勇敢さ
brawl,乱闘
brawler,喧嘩屋
brawling,乱闘
brawn,強がり
brawny,屈強な
bray,ブレイ
brayed,編んだ
braze,ブラズ
brazen,厚かましい
brazenfaced,ふてぶてしい
brazenly,厚かましい
brazier,火鉢
brazil,ブラジル
brazilian,ブラジル人
brazilwood,ブラジルウッド
brazos,ブラゾス
brazzaville,ブラザビル
breach,違反
breached,違反した
breachloader,ブリーチローダー
breachy,慌しい
bread,パン
breadbasket,穀倉地帯
breadboard,ブレッドボード
breadcrumb,パンくずリスト
breadfruit,パンノキ
breadline,パンライン
breadroot,パンの根
breadstick,ブレッドスティック
breadstuff,パン材料
breadth,幅
breadthwise,横方向に
breadwinner,大黒柱
break,壊す
breakable,壊れやすい
breakableness,壊れやすさ
breakage,破損
breakaway,離脱する
breakax,ブレイクアックス
breakbone,骨折
breakdown,壊す
breaker,ブレーカ
breakers,ブレーカー
breakfast,朝食
breaking,速報
breakneck,猛烈な
breaks,休憩
breakthrough,画期的な
breakwater,防波堤
bream,鯛
breast,胸
breasted,胸のある
breastless,胸のない
breastplate,胸当て
breasts,胸
breaststroke,平泳ぎ
breastwork,胸当て
breath,呼吸
breathalyzer,飲酒検知器
breathe,息をする
breathed,息をした
breathing,呼吸
breathinghole,呼吸穴
breathless,息が詰まる
breathlessly,息を切らして
breatless,息ができない
breccia,角礫岩
bred,育てられた
breech,銃尾
breechblock,遊底
breechcloth,ズボン
breeched,突破された
breeches,ズボン
breechesmaker,ズボンメーカー
breed,繁殖
breeder,ブリーダー
breeding,育種
breeze,風
breezily,さわやかに
breeziness,さわやかさ
breezy,さわやかな
bregma,ブレグマ
bregmatic,ブレグマティック
bren,ブレン
bretagne,ブルターニュ
brethren,兄弟たち
breton,ブルトン人
brett,ブレット
breve,短い
brevem,ブレベム
brevet,ブルベ
breviary,略歴
brevier,より簡潔な
brevipennate,短ペナテ
brevis,ブレビス
brevity,簡潔
brevoortia,ブレヴォーティア
brew,醸造する
brewer,醸造家
brewery,醸造所
brewing,醸造
brian,ブライアン
briar,茨
briard,ブリアード
briarean,ブライエリアン
briarroot,ブリアルート
briarwood,ブライヤーウッド
briary,埋葬地
bribe,賄賂
briber,賄賂
bribery,贈収賄
brick,レンガ
brickbat,レンガバット
brickcolored,レンガ色の
brickellia,ブリケリア
brickkiln,レンガ窯
bricklayer,れんが職人
bricklaying,レンガ積み
bricks,レンガ
brickwork,レンガ造り
brickyard,レンガ置き場
bridal,ブライダル
bride,花嫁
bridegroom,花婿
bridesmaid,花嫁介添人
bridesman,花婿
bridewell,ブライドウェル
bridge,橋
bridgeable,橋渡し可能な
bridgehead,橋頭堡
bridgeport,ブリッジポート
bridget,ブリジット
bridle,手綱
bridoon,ブリドン
brie,ブリー
brief,簡単な
briefcase,ブリーフケース
briefing,説明会
briefless,ブリーフレス
briefly,簡単に
briefness,簡潔さ
brier,ブライアー
brig,頑丈な
brigade,旅団
brigadier,准将
brigand,強盗
brigandage,山賊行為
brigandine,ブリガンダイン
brigantine,ブリガンティン
bright,明るい
brighten,明るくする
brightness,輝度
brighton,ブライトン
brigit,ブリギット
brigue,ブリッグ
brihaspati,ブリハスパティ
brill,ブリル
briller,ブリラー
brilliance,輝き
brilliancy,光沢
brilliant,素晴らしい
brilliantine,ブリリアント
brilliantly,見事に
brim,鍔
brimful,つばのある
brimless,つばなし
brimmer,つば
brimming,あふれる
brimstone,硫黄
brinded,斑点のある
brindle,ブリンドル
brindled,縞模様の
brine,塩水
bring,持ってくる
bringing,持ってくる
bringword,ブリングワード
brininess,塩気
brink,瀬戸際
brinkmanship,瀬戸際政策
briny,明るい
brio,ブリオ
brioche,ブリオッシュ
brioschi,ブリオスキ
briquet,練炭
briquette,練炭
brisance,輝き
brisant,ブリサント
brisbane,ブリスベン
brisk,活発な
brisket,胸肉
briskly,活発に
briskness,活発
brisling,剛毛
bristle,剛毛
bristlegrass,剛毛草
bristlelike,剛毛のような
bristletail,剛毛尾
bristling,剛毛
bristly,剛毛
bristol,ブリストル
brit,英国人
britannia,ブリタニア
britannic,ブリタニア語
britches,ズボン
briticism,イギリス主義
british,イギリス人
britisher,イギリス人
briton,英国人
brittle,脆い
brittlebush,ブリトルブッシュ
brittleness,脆さ
britzka,ブリツカ
broach,切り出す
broad,広い
broadax,ブロードアックス
broadband,ブロードバンド
broadbill,ヒロハシ
broadcast,放送
broadcaster,放送局
broadcasting,放送
broadcloth,ブロード
broadening,広がる
broadhorn,ブロードホーン
broadleaf,広葉樹
broadloom,広幅織り
broadly,広く
broadsheet,大判シート
broadshouldered,広い肩幅
broadside,舷側
broadsword,ブロードソード
broadtail,ブロードテイル
broadway,ブロードウェイ
brobdingnagian,ブロブディンナジアン
brocade,ブロケード
brocaded,錦織の
brocatelle,ブロカテル
broccoli,ブロッコリー
brochure,パンフレット
brocken,ブロッケン
brocket,ブロック
broder,兄弟
brodiaea,ブローディア
brogan,ブローガン
brogue,ブローグ
broil,炙る
broiled,炙った
broiler,ブロイラー
broiling,炙る
broke,壊れた
broken,壊れた
brokenhearted,失恋した
brokenwinded,壊れた
broker,ブローカ
brokerage,仲介
brokery,仲介
brome,ブロム
bromelia,ブロメリア
bromeliaceae,ブロメリア科
bromic,臭素酸
bromide,ブロマイド
bromidic,臭素酸
bromine,臭素
bromus,ブロムス
bronchia,気管支
bronchial,気管支
bronchiolar,細気管支
bronchiole,細気管支
bronchiolitis,細気管支炎
bronchitic,気管支炎
bronchitis,気管支炎
broncho,気管支
bronchocele,気管支瘤
bronchodilator,気管支拡張薬
bronchoscope,気管支鏡
bronchoscopic,気管支鏡検査
bronchospasm,気管支けいれん
bronchus,気管支
bronco,ブロンコ
bronx,ブロンクス
bronze,ブロンズ
bronzed,青銅色の
brooch,ブローチ
brood,ひよこ
brooding,思い悩む
broodmare,繁殖牝馬
broody,陰気な
brook,小川
brooklet,ブルックレット
brooklime,ブルックライム
brooklyn,ブルックリン
brookweed,カワハギ
broom,ほうき
broomcorn,ホウキモロコシ
brooms,ほうき
broomstick,ほうきの柄
broomweed,ほうき草
brosmius,ブロスミウス
broth,ブロス
brothel,売春宿
brother,兄弟
brotherhood,兄弟愛
brotherly,兄弟らしい
brotula,ブロチュラ
brotulidae,ブロツル科
brougham,ブロアム
brought,持ってくる
brouhaha,大騒ぎ
brouillerie,ブリュイリー
brouillon,ブルイヨン
broussonetia,ブルソネティア
brow,額
browbeat,眉音
browbeaten,眉をひそめられた
brown,茶色
brownian,ブラウン系
brownie,ブラウニー
browning,茶色くなる
brownstone,ブラウンストーン
browntail,ブラウンテイル
brows,眉毛
browse,ブラウズ
browser,ブラウザ
brrok,ブルック
bruce,ブルース
brucellosis,ブルセラ症
bruchidae,ブルキダエ
bruchus,ブルフス
brucine,ブルシン
brucke,ブリュッケ
bruckenthalia,ブルケンタリア
bruder,野蛮な
bruges,ブルージュ
brugmansia,ブルグマンシア
bruin,ブルーイン
bruise,あざ
bruised,傷ついた
bruiser,ブルーザー
bruising,あざ
bruit,ブルート
brumaire,ブリュメール
brumal,残忍な
brummagem,ブルマゲム
brumous,荒々しい
brunanburh,ブルナンブル
brunch,ブランチ
brunei,ブルネイ
bruneian,ブルネイ人
brunet,黒髪の
brunette,ブルネット
brunfelsia,ブランフェルシア
brunnhilde,ブリュンヒルデ
brunt,鈍い
brush,みがきます
brushed,起毛した
